19:51:50:225 [ALWAYS]	GUDE Logging Started
19:51:50:226 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:51:50:226 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:51:50:226 [ERROR]	Initialize resume cache pointer failure
19:51:50:226 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
19:51:50:226 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
19:51:52:192 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
19:51:52:192 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
19:51:52:192 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
19:51:52:192 [ERROR]	Initialize resume cache pointer failure
19:51:52:192 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
19:51:52:192 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
